experiment,label,warm_hit5,warm_ndcg10,warm_n_cases,warm_random_hit5,warm_random_ndcg10,warm_popularity_hit5,warm_popularity_ndcg10,cold_restaurant_hit5,cold_restaurant_ndcg10,cold_restaurant_n_cases,cold_restaurant_random_hit5,cold_restaurant_random_ndcg10,cold_restaurant_popularity_hit5,cold_restaurant_popularity_ndcg10,cold_user_hit5,cold_user_ndcg10,cold_user_n_cases,cold_user_random_hit5,cold_user_random_ndcg10,cold_user_popularity_hit5,cold_user_popularity_ndcg10
full_model,Full model (all features),0.26523601933622293,0.22637592753641708,80057,0.054161409995378294,0.04989329575675223,0.2717438824837303,0.23169248808283155,0.08984660336011688,0.09327026806926651,1369,0.04090577063550037,0.038416436633836,0.0,0.0,0.2909930715935335,0.24757434822522661,1732,0.0617782909930716,0.05440213508292672,0.2707852193995381,0.22821178933210884
no_user_context,No user context (drop dow/distance),0.2648113219331226,0.22580367000671772,80057,0.054161409995378294,0.04989329575675223,0.2717438824837303,0.23169248808283155,0.07012417823228634,0.06770787448546638,1369,0.04090577063550037,0.038416436633836,0.0,0.0,0.24884526558891454,0.2173814353982343,1732,0.0617782909930716,0.05440213508292672,0.2707852193995381,0.22821178933210884
content_x_content,Content × Content (no context either side),0.2501467704260714,0.2141572248068374,80057,0.054161409995378294,0.04989329575675223,0.2717438824837303,0.23169248808283155,0.050401753104455806,0.04696159155790998,1369,0.04090577063550037,0.038416436633836,0.0,0.0,0.24191685912240185,0.20729719130605273,1732,0.0617782909930716,0.05440213508292672,0.2707852193995381,0.22821178933210884
no_user_content,No user content (drop preferences),0.27241840188865435,0.2309697775694254,80057,0.054161409995378294,0.04989329575675223,0.2717438824837303,0.23169248808283155,0.039444850255661065,0.03612360100783824,1369,0.04090577063550037,0.038416436633836,0.0,0.0,0.31524249422632794,0.2903716192697356,1732,0.0617782909930716,0.05440213508292672,0.2707852193995381,0.22821178933210884
context_x_context,Context × Context (no content either side),0.27516644390871503,0.2347284109801027,80057,0.054161409995378294,0.04989329575675223,0.2717438824837303,0.23169248808283155,0.02483564645726808,0.02483453959676452,1369,0.04090577063550037,0.038416436633836,0.0,0.0,0.31812933025404155,0.29019394911880914,1732,0.0617782909930716,0.05440213508292672,0.2707852193995381,0.22821178933210884
checkin_replaces_dow,checkin_replaces_dow,0.2798755886430918,0.23809395906738656,80057,,,,,0.10007304601899196,0.08548958318634536,1369,,,,,0.31755196304849886,0.2698422651827005,1732,,,,
gated_fusion,gated_fusion,0.27717751102339583,0.2352349551219049,80057,,,,,0.07669831994156319,0.07236840982464186,1369,,,,,0.2909930715935335,0.2544484112032411,1732,,,,
gated_fusion_with_checkin,gated_fusion_with_checkin,0.28657081829196696,0.24292589140041332,80057,,,,,0.08838568298027757,0.07470473794196245,1369,,,,,0.31524249422632794,0.26610710262843995,1732,,,,
no_onboarding,no_onboarding,0.276515482718563,0.23401104102513126,80057,,,,,0.07012417823228634,0.07067318370597425,1369,,,,,0.2921478060046189,0.2565027317915254,1732,,,,
no_preferences,no_preferences,0.27890128283597937,0.23630161221567458,80057,,,,,0.039444850255661065,0.036644441229395884,1369,,,,,0.31812933025404155,0.28910761217406405,1732,,,,
no_temporal,no_temporal,0.2612763406073173,0.22386224049726788,80057,,,,,0.06720233747260775,0.06077844658254299,1369,,,,,0.2823325635103926,0.2434695876900528,1732,,,,
with_user_checkin,with_user_checkin,0.2855090747842162,0.2430893903446925,80057,,,,,0.09130752373995617,0.07999362549034962,1369,,,,,0.31351039260969976,0.266721997826012,1732,,,,
