comparison,baseline,variant,split,metric,method,n,full,ablation,delta,ci_lo,ci_hi,p,p_holm,sig
Full vs No User Content,full_model,no_user_content,cold_restaurant,NDCG@10,welch-t,5,0.0772450768431704,0.03061635987136624,0.046628716971804166,0.03576216513056555,0.05749526881304278,9.384517739083002e-05,0.0022522842573799206,True
Full vs No User Content,full_model,no_user_content,cold_user,NDCG@10,welch-t,5,0.2562515082212361,0.28607416967156624,-0.029822661450330135,-0.03781253329415043,-0.02183278960650984,4.636258912314452e-05,0.0012981524954480466,True
Full vs Content × Content,full_model,content_x_content,warm,Hit@5,welch-t,5,0.2717988433241315,0.2501917383863997,0.021607104937731825,0.017237187986335653,0.025977021889127996,1.4112916435794613e-05,0.0004657262423812222,True
Full vs Content × Content,full_model,content_x_content,cold_restaurant,Hit@5,welch-t,5,0.08137326515704894,0.05507669831994157,0.026296566837107377,0.006557431112197035,0.04603570256201772,0.015879575129025787,0.20643447667733522,False
Full vs Content × Content,full_model,content_x_content,cold_user,Hit@5,welch-t,5,0.2921478060046189,0.23810623556581983,0.05404157043879909,0.04016142813273574,0.06792171274486244,1.9969700152074716e-05,0.0006390304048663909,True
Full vs Content × Content,full_model,content_x_content,warm,NDCG@10,welch-t,5,0.2311450224559907,0.21474008747377696,0.016404934982213737,0.01338162942921274,0.019428240535214733,8.770889909663272e-06,0.00030698114683821455,True
Full vs Content × Content,full_model,content_x_content,cold_restaurant,NDCG@10,welch-t,5,0.0772450768431704,0.05217897806000109,0.025066098783169316,0.00883687012550051,0.04129532744083812,0.007985522178642457,0.1117973105009944,False
Full vs Content × Content,full_model,content_x_content,cold_user,NDCG@10,welch-t,5,0.2562515082212361,0.20740285248208035,0.048848655739155755,0.040296683522617324,0.057400627955694186,1.2330858695811448e-06,4.4391091304921213e-05,True
Full vs Context × Context,full_model,context_x_context,warm,Hit@5,welch-t,5,0.2717988433241315,0.27615324081591863,-0.004354397491787121,-0.006883908108610897,-0.0018248868749633444,0.004807561481879133,0.072113422228187,False
Full vs Context × Context,full_model,context_x_context,cold_restaurant,Hit@5,welch-t,5,0.08137326515704894,0.029948867786705625,0.05142439737034332,0.037953854579454736,0.0648949401612319,0.0001612093486644073,0.003385396321952553,True
Full vs Context × Context,full_model,context_x_context,cold_user,Hit@5,welch-t,5,0.2921478060046189,0.31662817551963046,-0.024480369515011535,-0.03865422922348641,-0.01030650980653666,0.0041294567916793515,0.06607130866686962,False
Full vs Context × Context,full_model,context_x_context,warm,NDCG@10,welch-t,5,0.2311450224559907,0.23465459908342812,-0.003509576627437422,-0.005375120846392598,-0.0016440324084822458,0.002532230991429882,0.04304792685430799,True
Full vs Context × Context,full_model,context_x_context,cold_restaurant,NDCG@10,welch-t,5,0.0772450768431704,0.029188839019389668,0.04805623782378074,0.0369610635114577,0.05915141213610378,2.878219156322982e-05,0.0008922479384601245,True
Full vs Context × Context,full_model,context_x_context,cold_user,NDCG@10,welch-t,5,0.2562515082212361,0.2860718741845878,-0.02982036596335169,-0.04008169653878194,-0.01955903538792144,0.00017377668208314783,0.0034755336416629565,True
